source,target,edge_type
3425868,261110487,member_of
3425871,375441601,member_of
3425871,375441619,member_of
3425871,375441593,member_of
3425871,375441603,member_of
3425871,38376968,member_of
3425871,375441592,member_of
3425871,255810241,member_of
3425871,375441591,member_of
3425871,255810304,member_of
3425871,375441607,member_of
3425871,255809832,member_of
3425871,375441606,member_of
3425871,375441590,member_of
3425871,375441589,member_of
3425872,255810225,member_of
3425872,255809909,member_of
3425873,317850698,member_of
3425873,255810361,member_of
3425873,207931033,member_of
3425873,207931031,member_of
3425873,337718890,member_of
3425873,337718888,member_of
3425873,317854961,member_of
3425873,317856940,member_of
3425873,317851776,member_of
3425873,255810395,member_of
3425873,255810118,member_of
3425873,255810383,member_of
3425873,317844649,member_of
3425873,255810387,member_of
3425873,317844645,member_of
3425873,255810192,member_of
3425873,317844651,member_of
3425873,317850706,member_of
3425873,317854958,member_of
3425873,317865669,member_of
3425873,317864544,member_of
3425873,317864541,member_of
3425873,317864545,member_of
3425873,255809785,member_of
3426336,255845888,member_of
3426336,255846099,member_of
3426345,255845984,member_of
3426345,255845899,member_of
3426339,255845976,member_of
3426339,255845794,member_of
3426339,255845486,member_of
3426339,255845779,member_of
3426339,327465707,member_of
3426339,317852348,member_of
3426339,255845979,member_of
3426339,255846015,member_of
3426339,255845987,member_of
3426339,255845851,member_of
3426339,255845805,member_of
3426339,255846052,member_of
3426339,255846043,member_of
3426339,255845975,member_of
3426349,255845962,member_of
3426349,255846193,member_of
3426349,255846139,member_of
3426349,255845549,member_of
3426353,255845879,member_of
3426353,317867594,member_of
3426353,255845831,member_of
3426353,255846138,member_of
3426353,255845221,member_of
3426353,255846051,member_of
3426353,255846341,member_of
3426353,255845983,member_of
3426353,255845693,member_of
3426353,255846132,member_of
3426353,255846234,member_of
3426353,255846309,member_of
3426353,255846006,member_of
3426353,255846059,member_of
3426353,255846299,member_of
3426353,255845997,member_of
3426353,255846060,member_of
3426353,255846191,member_of
3426353,255846344,member_of
3426353,255845501,member_of
3426353,255846196,member_of
3426353,255846076,member_of
3426353,255846079,member_of
3426353,255845833,member_of
3426353,255845465,member_of
3426353,255846304,member_of
3426353,255846159,member_of
3426353,255845668,member_of
3426353,255846156,member_of
3426353,255845678,member_of
3426353,255846342,member_of
3426353,255846180,member_of
3426353,255845992,member_of
3426353,255845972,member_of
3426353,255845646,member_of
3426353,255845998,member_of
3426353,255845852,member_of
3426353,255845868,member_of
3426353,255846038,member_of
3426353,255846277,member_of
3426353,317867590,member_of
3426353,317867589,member_of
3426353,255846161,member_of
3426363,255845973,member_of
3426363,255845908,member_of
3426363,255845863,member_of
3426363,255845815,member_of
3426363,255845848,member_of
3426363,255846192,member_of
3426363,255846279,member_of
3426363,255845496,member_of
3426363,255846151,member_of
3426363,255845872,member_of
3426363,255846292,member_of
3426363,255846346,member_of
3426363,255846007,member_of
3426363,255845220,member_of
3426363,255845684,member_of
3426363,255845199,member_of
3426363,255845839,member_of
3426363,435554566,member_of
3426363,435554558,member_of
3426363,255845812,member_of
3426363,255845804,member_of
3426363,255845902,member_of
3426363,255845927,member_of
3426363,255845996,member_of
3426363,255845890,member_of
3426356,255845153,member_of
3426356,255845882,member_of
3426365,255845781,member_of
3426365,334508091,member_of
3426365,334507587,member_of
3426365,334507588,member_of
3426365,334508034,member_of
3426365,334507638,member_of
3426365,255846188,member_of
3426365,255845813,member_of
3426365,255845838,member_of
3426365,255845800,member_of
3426365,255845809,member_of
3426365,255845875,member_of
3426365,255845865,member_of
3426365,255845824,member_of
3426365,255846045,member_of
3426365,255846033,member_of
3426365,255845835,member_of
3426365,255845961,member_of
3426365,255846107,member_of
3426365,255845790,member_of
3426365,255845871,member_of
3426365,255845859,member_of
3426365,255845816,member_of
3426365,255845789,member_of
3426365,255845834,member_of
3426365,255846301,member_of
3426365,255845958,member_of
3426365,255845810,member_of
3426365,255845904,member_of
3426365,255845793,member_of
3426366,255845680,member_of
3426366,255846170,member_of
3426367,255846210,member_of
3426367,255846016,member_of
3426615,255865609,member_of
3426615,255865512,member_of
3426368,270248643,member_of
3426368,270248616,member_of
3426368,255846108,member_of
3426368,255846004,member_of
3426368,270248617,member_of
3426368,270248630,member_of
3426368,255846310,member_of
3426368,255846042,member_of
3426368,255846041,member_of
3426368,255845896,member_of
3437957,255726493,member_of
3437957,294262888,member_of
3437957,294262878,member_of
3437957,294262924,member_of
3437957,294262856,member_of
3437957,256519793,member_of
3542536,263742836,member_of
3542536,330671687,member_of
3542536,330671686,member_of
3542536,263742873,member_of
3542536,263742877,member_of
3542536,263742868,member_of
3542536,330963279,member_of
3542536,263742860,member_of
3542536,263742891,member_of
3614760,255726410,member_of
3614760,270248583,member_of
3614761,270248640,member_of
3614761,270248635,member_of
3614761,270248626,member_of
3542537,330671687,member_of
3542537,330671686,member_of
3542537,263742873,member_of
3542537,255797459,member_of
3542537,263742836,member_of
3662823,275278120,member_of
3662823,275278118,member_of
3662823,255739471,member_of
3662823,275278114,member_of
3662823,275278112,member_of
3614762,270248618,member_of
3614762,271499872,member_of
3614762,271499863,member_of
3812218,292818128,member_of
3812218,287428303,member_of
3812218,287428301,member_of
3812218,292818129,member_of
3812218,287428304,member_of
3817069,287801138,member_of
3817069,287801223,member_of
3817069,287801185,member_of
3817069,287801195,member_of
3817069,287801158,member_of
3817069,287801327,member_of
3817069,69676350,member_of
3817069,69676268,member_of
3817069,287801201,member_of
3817069,69676167,member_of
3817069,287801192,member_of
3817068,287801252,member_of
3817068,170331684,member_of
3817068,255739392,member_of
3817068,287801106,member_of
3817071,287801253,member_of
3817071,287801126,member_of
3817071,287801148,member_of
3817071,287801229,member_of
3817071,287801155,member_of
3817071,287801111,member_of
3817071,287801143,member_of
3817071,287801134,member_of
3817071,287801144,member_of
3817071,287801127,member_of
3817071,287801119,member_of
3817071,287801098,member_of
3817071,287801117,member_of
3817071,287801102,member_of
3817071,287801147,member_of
3817071,287801149,member_of
3817071,287801204,member_of
3817071,41889711,member_of
3817071,255726855,member_of
3817071,287801123,member_of
3817071,204836552,member_of
3817071,462833422,member_of
3817071,287799815,member_of
3817164,255797418,member_of
3817164,287805774,member_of
3817191,287806226,member_of
3817191,287806229,member_of
3817191,287806231,member_of
3817191,287806230,member_of
3829142,202621567,member_of
3829142,53617314,member_of
3829142,202522900,member_of
3829142,288581049,member_of
3817219,287806967,member_of
3817219,287806963,member_of
3817219,57774475,member_of
3817219,287806971,member_of
3817219,255739509,member_of
3817219,287806550,member_of
3817219,287806551,member_of
3817219,287806972,member_of
3817219,287799760,member_of
3817219,287799759,member_of
3904016,293858562,member_of
3904016,293858565,member_of
3904016,293858566,member_of
3904016,255797439,member_of
3904016,293858567,member_of
3907473,255726794,member_of
3905464,293944738,member_of
3905464,293944740,member_of
3905468,293945529,member_of
3988760,140094821,member_of
3988760,299952528,member_of
3988760,299952529,member_of
3988760,140094818,member_of
3988760,140094878,member_of
3988760,140094791,member_of
3988760,140094803,member_of
3988760,140094790,member_of
3988760,140094843,member_of
3988760,140094812,member_of
3988760,140094807,member_of
3988760,140094809,member_of
3988760,140094844,member_of
3988760,140094867,member_of
3988760,140094814,member_of
3988760,140094806,member_of
3988760,140128678,member_of
3988760,140128673,member_of
3988760,140094882,member_of
3988760,140094881,member_of
4286736,317857358,member_of
4286736,317857357,member_of
4286736,255809594,member_of
4286736,317855505,member_of
4286865,255845114,member_of
4286865,317863175,member_of
4286939,317870107,member_of
4286939,317868734,member_of
4286939,255726287,member_of
4286939,335303775,member_of
4286939,335303782,member_of
4286939,335303783,member_of
4287100,397845867,member_of
4287100,317875035,member_of
4287100,317875037,member_of
4287100,317875034,member_of
4287100,432797228,member_of
4287100,249163045,member_of
4287100,249163048,member_of
4578023,255739507,member_of
4578023,327474658,member_of
4578023,327474660,member_of
4578023,44862305,member_of
4722292,334507661,member_of
4722292,255739505,member_of
4722292,334507749,member_of
4722292,334508090,member_of
4722293,334507914,member_of
4722293,334507693,member_of
4722293,334507917,member_of
4722293,255726797,member_of
5587855,431802708,member_of
5587855,431802705,member_of
5587855,375441610,member_of
5587855,375441608,member_of
5587855,21664137,member_of
5587855,375441616,member_of
5587855,431802713,member_of
5587855,38376968,member_of
5587855,375441603,member_of
5587855,431802709,member_of
5587855,431802707,member_of
5587855,431802714,member_of
5962783,337984337,member_of
5962783,436177642,member_of
5962783,436177635,member_of
5962783,420859712,member_of
5962783,436323547,member_of
5962783,96052228,member_of
5962783,96052235,member_of
5962783,436042248,member_of
5962783,121718828,member_of
5962783,96052227,member_of
5962783,391525741,member_of
5962783,19786232,member_of
5962783,12562902,member_of
5962783,436042257,member_of
5962783,121718786,member_of
5962783,19786001,member_of
5962783,12561964,member_of
5962783,436042220,member_of
5962783,121718800,member_of
5962783,12564504,member_of
5962783,436042246,member_of
5962783,121718821,member_of
5962783,12563372,member_of
5962783,436042253,member_of
5962783,436042167,member_of
5962783,19784519,member_of
5962783,436042168,member_of
5962783,121718804,member_of
5962783,153272749,member_of
5962783,121718751,member_of
5962783,121718755,member_of
5962783,45819301,member_of
5962783,121718754,member_of
5962783,385886003,member_of
5962783,121718750,member_of
5962783,121718761,member_of
5962783,415343576,member_of
5962783,415343580,member_of
5962783,415343581,member_of
5962783,415343583,member_of
5962783,41879309,member_of
5962783,415628009,member_of
5962783,28559584,member_of
5962783,415628006,member_of
5962783,415628008,member_of
5962783,415615884,member_of
5962783,415615883,member_of
5962783,121718747,member_of
5962783,10854559,member_of
5962783,162782271,member_of
5962783,261110485,member_of
5962783,121718748,member_of
5962783,436042255,member_of
5962783,350671803,member_of
5962783,13796803,member_of
5962783,141212219,member_of
5962783,71480027,member_of
5962783,71467777,member_of
5962783,71469971,member_of
5962783,12569009,member_of
5962783,12568996,member_of
5962783,12569207,member_of
5962783,12569586,member_of
5962783,420863348,member_of
5962783,420863351,member_of
5962783,420863352,member_of
5962783,420869719,member_of
5962783,436177623,member_of
5962783,436177646,member_of
5962783,436177670,member_of
5962783,436177657,member_of
5962783,436177663,member_of
5962783,436177636,member_of
5962783,436177624,member_of
5962783,436177634,member_of
5962783,436177631,member_of
5962783,436177626,member_of
5962783,436177666,member_of
5962783,436177629,member_of
5962783,436177655,member_of
5962783,436177622,member_of
5962783,436177652,member_of
5962783,436177648,member_of
5962783,436177659,member_of
5962783,436177621,member_of
5962783,436177637,member_of
5962783,436177628,member_of
5962783,436177649,member_of
5962783,436177627,member_of
5962783,436177658,member_of
5962783,436177630,member_of
5962783,436323508,member_of
5962783,436323545,member_of
5962783,436323498,member_of
5962783,436323505,member_of
5962783,436323542,member_of
5962783,436323495,member_of
5962783,436323499,member_of
5962783,436323531,member_of
5962783,436323500,member_of
5962783,436323541,member_of
5962783,436323527,member_of
5962783,436323497,member_of
5962783,436323496,member_of
5962783,436323544,member_of
5962783,436323539,member_of
5962783,436323538,member_of
5962783,436323546,member_of
5962783,436323503,member_of
5962783,436323548,member_of
5962783,436323502,member_of
5962783,436323501,member_of
5962783,420863342,member_of
5962783,420863339,member_of
5962783,420863331,member_of
5962783,420863346,member_of
5962783,436323540,member_of
5962783,420863355,member_of
5962783,420863343,member_of
5962783,420863333,member_of
5962783,420863354,member_of
5962783,420863338,member_of
5962783,420863353,member_of
5962783,420863332,member_of
5962783,420863341,member_of
5962783,420863340,member_of
5962783,420863334,member_of
5962783,420863345,member_of
5962783,420863350,member_of
5962783,420863347,member_of
5962783,420863356,member_of
5962783,420863335,member_of
5962783,436323535,member_of
5962783,436323528,member_of
6458517,255739508,member_of
6458517,435571831,member_of
6458517,435571829,member_of
